Name,State,Constituency,Party,Gender,Education,Age,Participation in Debates,Private Member's Bills,Questions asked,Attendance,Notes
Jai Prakash,Uttar Pradesh,Hardoi,Bharatiya Janata Party,Male,Professional Graduate,65,3,0,55,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jai Sidheshwar Shivachary Mahaswa,Maharashtra,Solapur,Bharatiya Janata Party,Male,Doctorate,68,28,0,112,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jamyang Tsering Namgyal,Jammu and Kashmir,Ladakh,Bharatiya Janata Party,Male,Graduate,38,41,1,114,0.84,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Janardan Mishra,Madhya Pradesh,Rewa,Bharatiya Janata Party,Male,Professional Graduate,67,39,0,108,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Janardan Singh Sigriwal,Bihar,Maharajganj,Bharatiya Janata Party,Male,Post Graduate,65,95,16,322,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jasbir Singh,Punjab,Khadoor Sahib,Indian National Congress,Male,Certificate Course,,75,2,102,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jaskaur Meena,Rajasthan,Dausa,Bharatiya Janata Party,Female,Post Graduate,76,76,0,318,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jasvantsinh Sumanbhai Bhabhor,Gujarat,Dahod,Bharatiya Janata Party,Male,Graduate,57,18,0,294,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jayadev Galla,Andhra Pradesh,Guntur,Telugu Desam Party,Male,Graduate,57,89,0,314,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jayant Sinha,Jharkhand,Hazaribagh,Bharatiya Janata Party,Male,Professional Post Graduat,60,39,5,266,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jayanta Kumar Roy,West Bengal,Jalpaiguri,Bharatiya Janata Party,Male,Doctorate,56,17,0,492,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jual @ Juel Oram,Odisha,Sundargarh,Bharatiya Janata Party,Male,others,62,6,0,230,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jyotirmay Singh Mahato,West Bengal,Purulia,Bharatiya Janata Party,Male,Information Not Available,38,3,0,133,0.69,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Jyotsna Charandas Mahant,Chhattisgarh,Korba,Indian National Congress,Female,Information Not Available,70,7,0,116,0.71,Data corresponds to the period from 01-06-2019 to 10-02-2024.
K. Jayakumar,Tamil Nadu,Tiruvallur,Indian National Congress,Male,Doctorate,73,33,0,38,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
K. Muraleedharan,Kerala,Vadakara,Indian National Congress,Male,Professional Graduate,66,61,0,266,0.9,Data corresponds to the period from 01-06-2019 to 10-02-2024.
K. Navaskani,Tamil Nadu,Ramanathapuram,Indian Union Muslim League,Male,Inter/ Higher Secondary,44,134,3,271,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
K. Shanmugasundaram,Tamil Nadu,Pollachi,Dravida Munnetra Kazhagam,Male,Information Not Available,53,19,0,216,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
K. Subbarayan,Tamil Nadu,Tiruppur,Communist Party of India,Male,Matric,76,58,0,169,0.61,Data corresponds to the period from 01-06-2019 to 10-02-2024.
K.C. Patel,Gujarat,Valsad,Bharatiya Janata Party,Male,Professional Graduate,75,5,0,0,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kakoli Ghosh Dastidar,West Bengal,Barasat,All India Trinamool Congress,Female,Professional Post Graduat,64,16,0,1,0.55,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kalaben Mohanbhai Delkar,Dadra and Nagar Have,Dadra and Nagar Have,Shiv Sena,Female,Information Not Available,52,12,0,141,0.67,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kalyan Banerjee,West Bengal,Serampore,All India Trinamool Congress,Male,Professional Graduate,67,50,0,138,0.69,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kamlesh Paswan,Uttar Pradesh,Bansgaon,Bharatiya Janata Party,Male,Inter/ Higher Secondary,47,10,0,26,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kanakmal Katara,Rajasthan,Banswara,Bharatiya Janata Party,Male,Graduate,66,32,0,318,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kanimozhi Karunanidhi,Tamil Nadu,Thoothukkudi,Dravida Munnetra Kazhagam,Female,Post Graduate,56,65,2,182,0.69,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kanumuru Raghu Rama Krishna Raju,Andhra Pradesh,Narsapuram,Yuvajana Sramika Rythu Congress Party,Male,Professional Post Graduat,61,75,1,376,0.98,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Karadi Sanganna Amarappa,Karnataka,Koppal,Bharatiya Janata Party,Male,Inter/ Higher Secondary,73,21,0,205,0.76,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Karti P. Chidambaram,Tamil Nadu,Sivaganga,Indian National Congress,Male,Graduate,52,24,2,165,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kaushalendra Kumar,Bihar,Nalanda,Janata Dal (United),Male,Inter/ Higher Secondary,65,86,0,294,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kavita Singh,Bihar,Siwan,Janata Dal (United),Female,Post Graduate,39,13,0,10,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kavitha Malothu,Telangana,Mahabubabad,Bharat Rashtra Samithi,Female,Graduate,43,5,0,144,0.47,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Keshari Devi Patel,Uttar Pradesh,Phulpur,Bharatiya Janata Party,Female,Post Graduate,67,33,0,299,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kesineni Srinivas,Andhra Pradesh,Vijayawada,Telugu Desam Party,Male,Matric,58,27,3,215,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Khagen Murmu,West Bengal,Maldaha Uttar,Bharatiya Janata Party,Male,Graduate,64,52,0,308,0.94,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Khalilur Rahaman,West Bengal,Jangipur,All India Trinamool Congress,Male,Graduate,63,18,0,12,0.59,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kirit Premjibhai Solanki,Gujarat,Ahmedabad West,Bharatiya Janata Party,Male,Professional Post Graduat,73,102,11,225,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kirron Anupam Kher,Chandigarh,Chandigarh,Bharatiya Janata Party,Female,Post Graduate,71,9,0,106,0.47,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kirti Vardhan Singh,Uttar Pradesh,Gonda,Bharatiya Janata Party,Male,Post Graduate,57,7,0,47,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kisan Kapoor,Himachal Pradesh,Kangra,Bharatiya Janata Party,Male,Inter/ Higher Secondary,72,5,0,41,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Komati Reddy Venkat Reddy,Telangana,Bhongir,Indian National Congress,Male,Inter/ Higher Secondary,60,22,0,357,0.57,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kotha Prabhakar Reddy,Telangana,Medak,Bharat Rashtra Samithi,Male,Graduate,58,36,0,332,0.51,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kripanath Mallah,Assam,Karimganj,Bharatiya Janata Party,Male,Graduate,50,10,0,287,0.72,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Krishna Pal Singh,Madhya Pradesh,Guna,Bharatiya Janata Party,Male,Doctorate,48,53,5,364,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Krupal Balaji Tumane,Maharashtra,Ramtek,Shiv Sena,Male,Graduate,58,31,3,379,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kuldeep Rai Sharma,Andaman and Nicobar,Andaman and Nicobar,Indian National Congress,Male,Professional Graduate,56,834,9,610,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kumbakudi Sudhakaran,Kerala,Kannur,Indian National Congress,Male,Post Graduate,75,19,0,275,0.5,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kunar Hembram,West Bengal,Jhargram,Bharatiya Janata Party,Male,Graduate,61,21,0,19,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kunwar Danish Ali,Uttar Pradesh,Amroha,Bahujan Samaj Party,Male,Post Graduate,48,143,2,212,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Kuruva Gorantla Madhav,Andhra Pradesh,Hindupur,Yuvajana Sramika Rythu Congress Party,Male,Professional Graduate,54,40,0,306,0.71,Data corresponds to the period from 01-06-2019 to 10-02-2024.
L. S. Tejasvi Surya,Karnataka,Bangalore South,Bharatiya Janata Party,Male,Professional Graduate,33,36,0,382,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Lallu Singh,Uttar Pradesh,Faizabad,Bharatiya Janata Party,Male,Professional Graduate,69,8,0,168,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Lalubhai Babubhai Patel,Daman and Diu,Daman and Diu,Bharatiya Janata Party,Male,Matric,68,7,0,3,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Lavu Sri Krishna Devarayalu,Andhra Pradesh,Narasaraopet,Yuvajana Sramika Rythu Congress Party,Male,Professional Post Graduat,40,81,7,285,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Locket Chatterjee,West Bengal,Hooghly,Bharatiya Janata Party,Female,Graduate,49,43,2,295,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Lorho S. Pfoze,Manipur,Outer Manipur,Nagaland People's Front,Male,Doctorate,64,8,0,39,0.83,Data corresponds to the period from 01-06-2019 to 10-02-2024.
M. K. Raghavan,Kerala,Kozhikode,Indian National Congress,Male,Graduate,71,54,11,270,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
M. Selvaraj,Tamil Nadu,Nagapattinam,Communist Party of India,Male,Information Not Available,66,57,0,239,0.54,Data corresponds to the period from 01-06-2019 to 10-02-2024.
M.K. Vishnu Prasad,Tamil Nadu,Arani,Indian National Congress,Male,Professional Graduate,51,29,2,254,0.78,Data corresponds to the period from 01-06-2019 to 10-02-2024.
M.P. Abdussamad Samadani,Kerala,Malappuram,Indian Union Muslim League,Male,Post Graduate,65,32,0,117,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
M.V.V. Satyanarayana,Andhra Pradesh,Visakhapatnam,Yuvajana Sramika Rythu Congress Party,Male,Graduate,57,6,0,228,0.63,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Maddila Gurumoorthy,Andhra Pradesh,Tirupati,Yuvajana Sramika Rythu Congress Party,Male,Graduate,38,24,0,199,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Magunta Srinivasulu Reddy,Andhra Pradesh,Ongole,Yuvajana Sramika Rythu Congress Party,Male,Graduate,70,32,0,379,0.71,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mahabali Singh,Bihar,Karakat,Janata Dal (United),Male,Under Matric,68,45,0,226,0.98,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mahboob Ali Kaiser,Bihar,Khagaria,Lok Jan Shakti Party,Male,Graduate,65,12,0,8,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mahendra Singh Solanky,Madhya Pradesh,Dewas,Bharatiya Janata Party,Male,Professional Graduate,39,8,0,98,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mahesh Sahoo,Odisha,Dhenkanal,Biju Janata Dal,Male,Diploma Course,63,35,0,204,0.62,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mahesh Sharma,Uttar Pradesh,Gautam Buddha Nagar,Bharatiya Janata Party,Male,Professional Graduate,64,4,0,6,0.83,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mahua Moitra,West Bengal,Krishnanagar,All India Trinamool Congress,Female,Graduate,49,37,0,62,0.83,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mala Rajya Laxmi Shah,Uttarakhand,Tehri Garhwal,Bharatiya Janata Party,Female,Inter/ Higher Secondary,73,10,0,147,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mala Roy,West Bengal,Kolkata Dakshin,All India Trinamool Congress,Female,Graduate,66,10,0,205,0.43,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Malook Nagar,Uttar Pradesh,Bijnor,Bahujan Samaj Party,Male,Graduate,59,606,3,255,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Maneka Gandhi,Uttar Pradesh,Sultanpur,Bharatiya Janata Party,Female,Inter/ Higher Secondary,67,0,0,117,0.78,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mangal Suresh Angadi,Karnataka,Belgaum,Bharatiya Janata Party,Female,Graduate,60,1,0,29,0.66,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Manicka Tagore,Tamil Nadu,Virudhunagar,Indian National Congress,Male,Professional Graduate,48,96,0,317,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Manish Tewari,Punjab,Anandpur Sahib,Indian National Congress,Male,Graduate,58,79,6,212,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Manjulata Mandal,Odisha,Bhadrak,Biju Janata Dal,Female,Information Not Available,47,20,0,261,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Manne Srinivas Reddy,Telangana,Mahabubnagar,Bharat Rashtra Samithi,Male,Graduate,65,13,0,356,0.64,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Manoj Kotak Kishorbhai,Maharashtra,Mumbai-North-East,Bharatiya Janata Party,Male,Matric,51,53,7,367,0.98,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Manoj Rajoria,Rajasthan,Karauli-Dholpur,Bharatiya Janata Party,Male,Professional Post Graduat,54,87,9,319,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Manoj Tiwari,Delhi,North East Delhi,Bharatiya Janata Party,Male,Professional Post Graduat,53,37,0,395,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mansukhbhai D. Vasava,Gujarat,Bharuch,Bharatiya Janata Party,Male,Post Graduate,66,46,0,128,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Margani Bharat Ram,Andhra Pradesh,Rajahmundry,Yuvajana Sramika Rythu Congress Party,Male,Graduate,41,46,1,286,0.66,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mimi Chakraborty,West Bengal,Jadavpur,All India Trinamool Congress,Female,Information Not Available,35,7,0,161,0.21,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mitesh Rameshbhai Patel,Gujarat,Anand,Bharatiya Janata Party,Male,Diploma Course,58,40,0,212,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mohammad Akbar Lone,Jammu and Kashmir,Baramulla,Jammu and Kashmir National Conference,Male,Graduate,76,6,0,5,0.41,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mohammad Azam Khan,Uttar Pradesh,Rampur,Samajwadi Party,Male,Information Not Available,75,5,0,11,0.28,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mohammad Jawed,Bihar,Kishanganj,Indian National Congress,Male,Professional Graduate,60,53,6,229,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mohammad Sadique,Punjab,Faridkot,Indian National Congress,Male,Under Matric,84,14,0,2,0.64,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mohan Mandavi,Chhattisgarh,Kanker,Bharatiya Janata Party,Male,Post Graduate,66,29,0,101,1,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mohanbhai Delkar,Dadra and Nagar Have,Dadra and Nagar Have,Independent,Male,Graduate,61,24,0,14,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mohanbhai Kalyanjibhai Kundariya,Gujarat,Rajkot,Bharatiya Janata Party,Male,Matric,72,38,0,380,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mukesh Rajput,Uttar Pradesh,Farrukhabad,Bharatiya Janata Party,Male,Graduate,55,46,0,57,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Mulayam Singh Yadav,Uttar Pradesh,Mainpuri,Samajwadi Party,Male,Post Graduate,84,1,0,0,0.62,Data corresponds to the period from 01-06-2019 to 10-02-2024.
N. Reddeppa,Andhra Pradesh,Chittoor,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate,72,25,0,331,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
N.K.Premachandran,Kerala,Kollam,Revolutionary Socialist Party,Male,Professional Graduate,63,267,18,272,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Naba Kumar Sarania (Hira),Assam,Kokrajhar,Independent,Male,Inter/ Higher Secondary,54,39,0,213,0.8,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Nakul Nath,Madhya Pradesh,Chhindwara,Indian National Congress,Male,Graduate,49,1,0,30,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Nalin Kumar Kateel,Karnataka,Dakshina Kannada,Bharatiya Janata Party,Male,Matric,57,13,0,353,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Nama Nageswara Rao,Telangana,Khammam,Bharat Rashtra Samithi,Male,Inter/ Higher Secondary,66,51,0,226,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Nandkumar Singh Chouhan (Nandu Bh,Madhya Pradesh,Khandwa,Bharatiya Janata Party,Male,Graduate,71,7,0,7,0.67,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Naranbhai Kachhadia,Gujarat,Amreli,Bharatiya Janata Party,Male,Under Matric,68,84,4,471,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Narender Kumar,Rajasthan,Jhunjhunu,Bharatiya Janata Party,Male,Graduate,63,34,0,64,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Navnit Ravi Rana,Maharashtra,Amravati,Independent,Female,Graduate,38,98,0,237,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Nayab Singh,Haryana,Kurukshetra,Bharatiya Janata Party,Male,Professional Graduate,54,40,0,194,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Nihalchand,Rajasthan,Ganganagar,Bharatiya Janata Party,Male,Graduate,53,104,9,308,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Nishikant Dubey,Jharkhand,Godda,Bharatiya Janata Party,Male,Professional Post Graduat,55,193,19,375,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Nitesh Ganga Deb,Odisha,Sambalpur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,51,22,0,98,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Nusrat Jahan Ruhi,West Bengal,Basirhat,All India Trinamool Congress,Female,Post Graduate,34,12,0,147,0.23,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Omprakash,Maharashtra,Osmanabad,Shiv Sena,Male,Professional Graduate,40,71,1,362,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
P. C. Mohan,Karnataka,Bangalore Central,Bharatiya Janata Party,Male,Inter/ Higher Secondary,60,9,0,189,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
P. Raveendranath Kumar,Tamil Nadu,Theni,All India Anna Dravida Munnetra Kazhagam,Male,Information Not Available,44,103,0,196,0.55,Data corresponds to the period from 01-06-2019 to 10-02-2024.
P. Velusamy,Tamil Nadu,Dindigul,Dravida Munnetra Kazhagam,Male,Information Not Available,56,16,0,211,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
P.C. Gaddigoudar,Karnataka,Bagalkot,Bharatiya Janata Party,Male,Professional Graduate,72,5,0,76,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
P.K. Kunhalikutty,Kerala,Malappuram,Indian Union Muslim League,Male,Diploma Course,72,25,0,58,0.72,Data corresponds to the period from 01-06-2019 to 10-02-2024.
P.P. Chaudhary,Rajasthan,Pali,Bharatiya Janata Party,Male,Professional Graduate,70,161,16,523,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
P.P. Mohammed Faizal,Lakshadweep,Lakshadweep,Nationalist Congress Party,Male,Professional Post Graduat,48,36,0,245,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
P.R. Natarajan,Tamil Nadu,Coimbatore,Communist Party of India (Marxist),Male,Under Graduate,73,56,0,253,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
P.V. Midhun Reddy,Andhra Pradesh,Rajampet,Yuvajana Sramika Rythu Congress Party,Male,Professional Post Graduat,46,33,2,341,0.68,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pakauri Lal,Uttar Pradesh,Robertsganj,Apna Dal,Male,Under Matric,71,2,0,0,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pallab Lochan Das,Assam,Tezpur,Bharatiya Janata Party,Male,Graduate,45,14,0,133,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Parbhatbhai Savabhai Patel,Gujarat,Banaskantha,Bharatiya Janata Party,Male,Professional Graduate,75,55,0,360,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Parvesh Sahib Singh Verma,Delhi,West Delhi,Bharatiya Janata Party,Male,Professional Post Graduat,46,47,12,269,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pashupati Nath Singh,Jharkhand,Dhanbad,Bharatiya Janata Party,Male,Graduate,74,19,0,122,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Patel Hasmukhbhai Somabhai,Gujarat,Ahmedabad East,Bharatiya Janata Party,Male,Diploma Course,63,20,1,147,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pinaki Misra,Odisha,Puri,Biju Janata Dal,Male,Professional Graduate,64,46,0,201,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pocha. Brahmananda Reddy,Andhra Pradesh,Nandyal,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate,66,22,0,271,0.68,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Poonam Mahajan Alias Poonam Vajen,Maharashtra,Mumbai-North-Central,Bharatiya Janata Party,Female,Graduate,43,7,0,307,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Poonamben Hematbhai Maadam,Gujarat,Jamnagar,Bharatiya Janata Party,Female,Graduate,49,27,2,289,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pradan Baruah,Assam,Lakhimpur,Bharatiya Janata Party,Male,Diploma Course,58,0,0,15,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pradeep Kumar,Uttar Pradesh,Kairana,Bharatiya Janata Party,Male,Information Not Available,54,18,0,22,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pradeep Kumar Singh,Bihar,Araria,Bharatiya Janata Party,Male,Matric,59,34,0,286,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pradyut Bordoloi,Assam,Nawgong,Indian National Congress,Male,Post Graduate,64,31,3,256,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Prajwal Revanna,Karnataka,Hassan,Janata Dal (Secular),Male,Professional Graduate,33,2,0,89,0.55,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pramila Bisoyi,Odisha,Aska,Biju Janata Dal,Female,Under Matric,75,8,0,54,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Prasun Banerjee,West Bengal,Howrah,All India Trinamool Congress,Male,Graduate,68,21,0,82,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Prataprao Patil Chikhalikar,Maharashtra,Nanded,Bharatiya Janata Party,Male,Inter/ Higher Secondary,62,18,0,153,0.69,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Prathap Simha,Karnataka,Mysore,Bharatiya Janata Party,Male,Post Graduate,47,8,0,355,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pratibha Singh,Himachal Pradesh,Mandi,Indian National Congress,Female,Graduate,67,2,0,29,0.71,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pratima Mondal,West Bengal,Jaynagar,All India Trinamool Congress,Female,Post Graduate,57,87,0,165,0.8,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pravin Kumar Nishad,Uttar Pradesh,Sant Kabir Nagar,Bharatiya Janata Party,Male,Professional Graduate,35,4,0,17,0.78,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Preneet Kaur,Punjab,Patiala,Indian National Congress,Female,Graduate,79,18,0,27,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Prince Raj,Bihar,Samastipur,Lok Jan Shakti Party,Male,Post Graduate,34,25,0,15,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pritam Gopinath Munde,Maharashtra,Beed,Bharatiya Janata Party,Female,Professional Graduate,40,24,0,501,0.84,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Pushpendra Singh Chandel,Uttar Pradesh,Hamirpur,Bharatiya Janata Party,Male,Post Graduate,50,1261,15,376,0.94,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Queen Oja,Assam,Gauhati,Bharatiya Janata Party,Female,Graduate,73,24,0,155,0.74,Data corresponds to the period from 01-06-2019 to 10-02-2024.
R.K. Singh Patel,Uttar Pradesh,Banda,Bharatiya Janata Party,Male,Graduate,64,37,0,85,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Radha Mohan Singh,Bihar,Purvi Champaran,Bharatiya Janata Party,Male,Graduate,74,3,0,0,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rahul Gandhi,Kerala,Wayanad,Indian National Congress,Male,Post Graduate,53,8,0,99,0.51,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rahul Kaswan,Rajasthan,Churu,Bharatiya Janata Party,Male,Graduate,47,98,3,277,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rahul Ramesh Shewale,Maharashtra,Mumbai-South-Central,Shiv Sena,Male,Diploma Course,50,143,13,531,0.94,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Raja Amareshwara Naik,Karnataka,Raichur,Bharatiya Janata Party,Male,Professional Graduate,66,12,0,571,0.8,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rajan Baburao Vichare,Maharashtra,Thane,Shiv Sena,Male,Inter/ Higher Secondary,62,26,0,281,0.66,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rajashree Mallick,Odisha,Jagatsinghpur,Biju Janata Dal,Female,Doctorate,59,14,0,60,0.49,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rajbahadur Singh,Madhya Pradesh,Sagar,Bharatiya Janata Party,Male,Information Not Available,56,5,0,67,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rajdeep Roy,Assam,Silchar,Bharatiya Janata Party,Male,Doctorate,53,36,0,40,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rajendra Agrawal,Uttar Pradesh,Meerut,Bharatiya Janata Party,Male,Post Graduate,72,97,6,232,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Rajendra Dhedya Gavit,Maharashtra,Palghar,Shiv Sena,Male,Graduate,56,31,0,274,0.68,Data corresponds to the period from 01-06-2019 to 10-02-2024.
