Name,State,Constituency,Party,Gender,Education,Age,Participation in Debates,Private Member's Bills,Questions asked,Attendance,Notes
Suresh Nandigam,Andhra Pradesh,Bapatla,Yuvajana Sramika Rythu Congress Party,Male,Matric,47,2,0,8,0.35,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Suresh Pujari,Odisha,Bargarh,Bharatiya Janata Party,Male,Information Not Available,63,43,0,31,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sushil Kumar Rinku,Punjab,Jalandhar,Aam Aadmi Party,Male,Inter/ Higher Secondary,,7,0,19,0.64,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sushil Kumar Singh,Bihar,Aurangabad,Bharatiya Janata Party,Male,Post Graduate,60,87,5,204,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Swami Sachchidanand Hari Sakshi,Uttar Pradesh,Unnao,Bharatiya Janata Party,Male,Doctorate,68,1,0,25,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
T.N. Prathapan,Kerala,Thrissur,Indian National Congress,Male,Pre degree (12th pass),63,67,1,312,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
T.R. Paarivendhar,Tamil Nadu,Perambalur,Dravida Munnetra Kazhagam,Male,Doctorate,82,40,2,268,0.62,Data corresponds to the period from 01-06-2019 to 10-02-2024.
T.R.V.S. Ramesh,Tamil Nadu,Cuddalore,Dravida Munnetra Kazhagam,Male,Information Not Available,53,5,0,183,0.43,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Talari Rangaiah,Andhra Pradesh,Anantapur,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate,53,22,1,215,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Tapir Gao,Arunachal Pradesh,Arunachal East,Bharatiya Janata Party,Male,Post Graduate,59,42,0,102,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Tatkare Sunil Dattatray,Maharashtra,Raigad,Nationalist Congress Party,Male,Information Not Available,68,42,0,527,0.66,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Thalikkottai Rajuthevar Baalu,Tamil Nadu,Sriperumbudur,Dravida Munnetra Kazhagam,Male,Graduate,82,58,0,225,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Thirumaa Valavan Thol,Tamil Nadu,Chidambaram,Viduthalai Chiruthaigal Katchi,Male,Post Graduate,61,69,6,157,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Thomas Chazhikadan,Kerala,Kottayam,Kerala Congress (M),Male,Graduate,71,76,3,211,0.8,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Tirath Singh Rawat,Uttarakhand,Garhwal,Bharatiya Janata Party,Male,Post Graduate,59,44,4,63,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Tokheho,Nagaland,Nagaland,Nationalist Democratic Progressive Party,Male,Information not available,67,7,0,56,0.56,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Topon Kumar Gogoi,Assam,Jorhat,Bharatiya Janata Party,Male,Post Graduate,54,11,0,9,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Udasi Shivkumar Chanabasappa,Karnataka,Haveri,Bharatiya Janata Party,Male,Professional Graduate,56,62,0,222,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Uday Pratap Singh,Madhya Pradesh,Hoshangabad,Bharatiya Janata Party,Male,Graduate,59,96,0,186,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Umesh G. Jadhav,Karnataka,Gulbarga,Bharatiya Janata Party,Male,Professional Graduate,64,67,0,407,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Unmesh Bhaiyyasaheb Patil,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Graduate,45,133,8,457,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Upendra Singh Rawat,Uttar Pradesh,Barabanki,Bharatiya Janata Party,Male,Information Not Available,55,7,0,212,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Uttam Kumar Nalamada Reddy,Telangana,Nalgonda,Indian National Congress,Male,Graduate,61,18,0,187,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
V. Kalanidhi,Tamil Nadu,Chennai North,Dravida Munnetra Kazhagam,Male,Doctorate,54,59,3,295,0.83,Data corresponds to the period from 01-06-2019 to 10-02-2024.
V. Srinivas Prasad,Karnataka,Chamrajanagar,Bharatiya Janata Party,Male,Post Graduate,76,0,0,2,0.33,Data corresponds to the period from 01-06-2019 to 10-02-2024.
